0,48.0
1,50.0
2,50.0
3,48.0
4,54.0
5,53.0
6,48.0
7,54.0
8,53.0
9,50.0
10,51.0
11,50.0
12,49.0
13,54.0
14,53.0
15,48.0
16,50.0
17,50.0
18,48.0
19,54.0
20,53.0
21,49.0
22,54.0
23,53.0
24,50.0
25,56.0
26,53.0
27,50.0
28,55.0
29,54.0
30,49.0
31,54.0
32,54.0
33,49.0
34,54.0
35,50.0
36,50.0
37,56.0
38,53.0
39,49.0
40,55.0
41,54.0
42,48.0
43,54.0
44,54.0
45,50.0
46,51.0
47,50.0
48,50.0
49,54.0
50,53.0
51,49.0
52,53.0
53,53.0
54,49.0
55,54.0
56,54.0
57,50.0
58,54.0
59,54.0
60,48.0
61,50.0
62,50.0
63,47.0
64,54.0
65,52.0
66,48.0
67,54.0
68,52.0
69,49.0
70,55.0
71,53.0
72,49.0
73,54.0
74,54.0
75,48.0
76,53.0
77,54.0
78,49.0
79,54.0
80,50.0
81,50.0
82,55.0
83,52.0
84,50.0
85,54.0
86,54.0
87,49.0
88,53.0
89,54.0
90,50.0
91,54.0
92,53.0
93,50.0
94,53.0
95,56.0
96,50.0
97,53.0
98,56.0
99,49.0
100,54.0
101,55.0
102,49.0
103,54.0
104,55.0
105,49.0
106,50.0
107,54.0
108,49.0
109,50.0
110,50.0
111,50.0
112,51.0
113,51.0
114,49.0
115,51.0
116,54.0
117,48.0
118,50.0
119,54.0
120,50.0
121,51.0
122,53.0
123,50.0
124,52.0
125,56.0
126,50.0
127,53.0
128,56.0
129,49.0
130,54.0
131,55.0
132,50.0
133,54.0
134,55.0
135,49.0
136,50.0
137,54.0
138,52.0
139,53.0
140,50.0
141,52.0
142,53.0
143,53.0
144,52.0
145,53.0
146,53.0
147,51.0
148,54.0
149,54.0
150,51.0
151,54.0
152,54.0
153,51.0
154,51.0
155,53.0
156,50.0
157,54.0
158,53.0
159,51.0
160,54.0
161,54.0
162,50.0
163,54.0
164,54.0
165,50.0
166,50.0
167,50.0
