0,59.0
1,61.0
2,61.0
3,59.0
4,61.0
5,61.0
6,58.0
7,59.0
8,60.0
9,58.0
10,59.0
11,60.0
12,57.0
13,58.0
14,59.0
15,58.0
16,58.0
17,60.0
18,58.0
19,60.0
20,60.0
21,58.0
22,59.0
23,60.0
24,58.0
25,59.0
26,60.0
27,57.0
28,58.0
29,59.0
30,58.0
31,58.0
32,60.0
33,57.0
34,58.0
35,58.0
36,59.0
37,59.0
38,61.0
39,58.0
40,58.0
41,60.0
42,57.0
43,58.0
44,59.0
45,59.0
46,62.0
47,61.0
48,60.0
49,61.0
50,60.0
51,61.0
52,59.0
53,61.0
54,59.0
55,60.0
56,59.0
57,60.0
58,59.0
59,60.0
60,56.0
61,58.0
62,58.0
63,57.0
64,59.0
65,59.0
66,57.0
67,58.0
68,59.0
69,58.0
70,58.0
71,60.0
72,57.0
73,57.0
74,59.0
75,57.0
76,57.0
77,59.0
78,57.0
79,58.0
80,58.0
81,59.0
82,59.0
83,61.0
84,58.0
85,58.0
86,60.0
87,57.0
88,58.0
89,59.0
90,59.0
91,62.0
92,61.0
93,60.0
94,61.0
95,60.0
96,61.0
97,59.0
98,61.0
99,59.0
100,60.0
101,59.0
102,60.0
103,59.0
104,60.0
105,56.0
106,58.0
107,58.0
108,52.0
109,53.0
110,53.0
111,54.0
112,54.0
113,56.0
114,53.0
115,54.0
116,55.0
117,52.0
118,53.0
119,54.0
120,54.0
121,57.0
122,56.0
123,55.0
124,56.0
125,56.0
126,56.0
127,54.0
128,56.0
129,54.0
130,55.0
131,55.0
132,55.0
133,55.0
134,55.0
135,51.0
136,53.0
137,55.0
138,55.0
139,56.0
140,57.0
141,56.0
142,57.0
143,58.0
144,55.0
145,57.0
146,57.0
147,55.0
148,56.0
149,57.0
150,56.0
151,57.0
152,57.0
153,55.0
154,58.0
155,58.0
156,54.0
157,55.0
158,56.0
159,55.0
160,56.0
161,56.0
162,55.0
163,57.0
164,57.0
165,51.0
166,53.0
167,53.0
