0,60.0
1,60.0
2,62.0
3,59.0
4,60.0
5,61.0
6,60.0
7,61.0
8,60.0
9,61.0
10,61.0
11,60.0
12,60.0
13,60.0
14,60.0
15,59.0
16,60.0
17,61.0
18,60.0
19,61.0
20,62.0
21,60.0
22,61.0
23,61.0
24,60.0
25,60.0
26,60.0
27,59.0
28,59.0
29,60.0
30,59.0
31,59.0
32,60.0
33,59.0
34,60.0
35,60.0
36,61.0
37,61.0
38,60.0
39,60.0
40,60.0
41,60.0
42,59.0
43,60.0
44,61.0
45,60.0
46,60.0
47,61.0
48,60.0
49,59.0
50,60.0
51,61.0
52,59.0
53,60.0
54,59.0
55,58.0
56,60.0
57,60.0
58,59.0
59,60.0
60,60.0
61,60.0
62,61.0
63,59.0
64,60.0
65,61.0
66,59.0
67,60.0
68,61.0
69,59.0
70,59.0
71,60.0
72,58.0
73,58.0
74,60.0
75,58.0
76,58.0
77,60.0
78,58.0
79,59.0
80,60.0
81,60.0
82,60.0
83,61.0
84,59.0
85,59.0
86,61.0
87,59.0
88,59.0
89,61.0
90,59.0
91,59.0
92,60.0
93,59.0
94,59.0
95,59.0
96,60.0
97,58.0
98,59.0
99,58.0
100,58.0
101,59.0
102,59.0
103,58.0
104,59.0
105,59.0
106,59.0
107,60.0
108,55.0
109,55.0
110,58.0
111,55.0
112,58.0
113,60.0
114,57.0
115,57.0
116,60.0
117,58.0
118,55.0
119,59.0
120,60.0
121,60.0
122,61.0
123,60.0
124,60.0
125,60.0
126,59.0
127,59.0
128,59.0
129,59.0
130,59.0
131,60.0
132,59.0
133,59.0
134,60.0
135,60.0
136,60.0
137,61.0
138,59.0
139,59.0
140,59.0
141,59.0
142,59.0
143,59.0
144,58.0
145,58.0
146,58.0
147,59.0
148,59.0
149,59.0
150,60.0
151,60.0
152,60.0
153,59.0
154,59.0
155,59.0
156,58.0
157,58.0
158,58.0
159,59.0
160,59.0
161,59.0
162,59.0
163,59.0
164,59.0
165,58.0
166,58.0
167,58.0
